Country,Year,Cellphone,Internetuser,Radio,Telephone,Xlpopulation,Xlrealgdp
India,1899,0,0,0,0,0,0
India,1900,0,0,0,0,235729,147365
India,1901,0,0,0,0,237067,148199
India,1902,0,0,0,0,238645,158880
India,1903,0,0,0,0,240113,158213
India,1904,0,0,0,0,241684,153706
India,1905,0,0,0,0,243253,151537
India,1906,0,0,0,0,244820,162385
India,1907,0,0,0,0,246385,148700
India,1908,0,0,0,0,247948,156710
India,1909,0,0,0,0,249509,172064
India,1910,0,0,0,0,250868,172565
India,1911,0,0,0,0,251626,168894
India,1912,0,0,0,0,251766,171397
India,1913,0,0,0,0,251906,166891
India,1914,0,0,0,0,252045,172064
India,1915,0,0,0,15000,252084,174234
India,1916,0,0,0,17000,252222,181410
India,1917,0,0,0,20000,252360,181243
India,1918,0,0,0,21000,252497,156544
India,1919,0,0,0,25000,252608,177906
India,1920,0,0,0,0,252670,159047
India,1921,0,0,0,28000,254206,172732
India,1922,0,0,0,31000,256806,175569
India,1923,0,0,0,33000,259501,171063
India,1924,0,0,0,34000,262091,173566
India,1925,0,0,0,36000,264775,173400
India,1926,0,0,0,38000,267555,177739
India,1927,0,0,0,41000,270229,176070
India,1928,0,0,0,45000,272998,179741
India,1929,0,0,0,47000,275861,183413
India,1930,0,0,0,50000,278618,182245
India,1931,0,0,0,50000,282670,181744
India,1932,0,0,0,48000,286385,183914
India,1933,0,0,0,50000,290180,188420
India,1934,0,0,0,52000,293955,186584
India,1935,0,0,0,56000,297808,188086
India,1936,0,0,0,60000,301740,197599
India,1937,0,0,0,67000,305751,198934
India,1938,0,0,0,69000,309740,191758
India,1939,0,0,0,72000,313805,201771
India,1940,0,0,0,81000,317948,206778
India,1941,0,0,0,0,321565,204775
India,1942,0,0,0,0,325341,214121
India,1943,0,0,0,0,328625,228640
India,1944,0,0,0,100000,332976,224635
India,1945,0,0,0,106000,336917,223967
India,1946,0,0,0,111000,340857,216624
India,1947,0,0,221,111000,344367,220797
India,1948,0,0,282,126000,347913,209448
India,1949,0,0,343,129000,353333,213453
